Pos   	     A	     C	     G	     T     N	Clean A	Clean C	Clean G	Clean T	Clean N
1    	21.83%	34.69%	25.31%	18.18%	 0.00%	26.74%	22.94%	28.35%	21.97%	 0.00%
2    	35.12%	 6.92%	15.26%	42.70%	 0.00%	40.49%	 7.81%	18.76%	32.94%	 0.00%
3    	22.40%	35.40%	16.29%	25.90%	 0.00%	27.26%	23.07%	19.92%	29.75%	 0.00%
4    	26.99%	17.16%	25.64%	30.20%	 0.00%	31.19%	20.81%	13.40%	34.61%	 0.00%
5    	22.09%	20.21%	14.15%	43.56%	 0.00%	26.69%	22.63%	15.63%	35.06%	 0.00%
6    	44.55%	11.20%	17.86%	26.38%	 0.00%	35.39%	13.34%	21.78%	29.49%	 0.00%
7    	40.15%	14.45%	17.72%	27.68%	 0.00%	30.16%	16.67%	20.13%	33.04%	 0.00%
8    	31.54%	29.55%	13.36%	25.55%	 0.00%	36.22%	18.75%	16.03%	29.00%	 0.00%
9    	19.50%	15.93%	19.87%	44.71%	 0.00%	23.33%	18.95%	23.30%	34.42%	 0.00%
10   	44.86%	16.80%	 8.33%	30.02%	 0.00%	37.53%	19.62%	 9.17%	33.69%	 0.00%
11   	28.69%	29.03%	14.86%	27.42%	 0.00%	31.63%	18.18%	18.00%	32.19%	 0.00%
12   	42.03%	14.16%	15.91%	27.90%	 0.00%	31.89%	16.63%	18.60%	32.87%	 0.00%
13   	29.82%	11.82%	20.31%	38.05%	 0.00%	33.50%	13.43%	24.74%	28.32%	 0.00%
14   	37.80%	20.29%	15.68%	26.23%	 0.00%	27.78%	24.55%	17.36%	30.30%	 0.00%
15   	25.78%	16.02%	31.86%	26.34%	 0.00%	28.96%	18.30%	21.24%	31.51%	 0.00%
16   	35.06%	28.68%	12.02%	24.25%	 0.00%	41.27%	17.11%	14.44%	27.18%	 0.00%
17   	40.51%	16.11%	20.19%	23.20%	 0.00%	30.08%	19.43%	24.60%	25.89%	 0.00%
18   	20.03%	34.24%	27.08%	18.65%	 0.00%	23.41%	23.44%	31.17%	21.98%	 0.00%
19   	41.91%	14.87%	19.84%	23.39%	 0.00%	32.01%	16.24%	24.14%	27.61%	 0.00%
20   	37.60%	15.22%	21.68%	25.50%	 0.00%	27.54%	17.58%	26.32%	28.56%	 0.00%
21   	23.39%	15.56%	41.37%	19.68%	 0.00%	25.71%	18.83%	32.39%	23.07%	 0.00%
22   	24.74%	15.93%	16.04%	43.29%	 0.00%	28.50%	18.86%	18.92%	33.72%	 0.00%
23   	39.69%	13.16%	15.19%	31.96%	 0.00%	29.71%	15.22%	16.88%	38.20%	 0.00%
24   	38.13%	19.35%	22.23%	20.29%	 0.00%	28.92%	23.77%	25.49%	21.82%	 0.00%
25   	41.23%	15.62%	13.87%	29.28%	 0.00%	32.78%	18.42%	14.78%	34.03%	 0.00%
26   	20.90%	17.58%	23.44%	38.09%	 0.00%	23.52%	19.80%	27.96%	28.72%	 0.00%
27   	25.32%	16.31%	33.76%	24.61%	 0.00%	29.93%	19.26%	21.11%	29.70%	 0.00%
28   	28.98%	21.73%	12.43%	36.86%	 0.00%	32.06%	26.39%	14.01%	27.54%	 0.00%
29   	35.11%	19.26%	17.17%	28.46%	 0.00%	24.48%	22.15%	20.22%	33.14%	 0.00%
30   	24.59%	30.74%	17.22%	27.46%	 0.00%	28.53%	20.51%	19.20%	31.76%	 0.00%
