Pos   	     A	     C	     G	     T	     N	Clean A	Clean C	Clean G	Clean T	Clean N
1    	38.78%	18.87%	23.24%	19.12%	 0.00%	30.09%	22.93%	27.02%	19.96%	 0.00%
2    	44.16%	13.82%	13.78%	28.24%	 0.00%	34.24%	16.88%	15.88%	33.00%	 0.00%
3    	29.03%	34.06%	13.68%	23.23%	 0.00%	32.80%	23.26%	15.88%	28.06%	 0.00%
4    	26.65%	17.14%	13.97%	42.24%	 0.00%	31.32%	20.94%	15.97%	31.77%	 0.00%
5    	25.90%	13.43%	22.32%	38.35%	 0.00%	30.69%	14.24%	26.53%	28.54%	 0.00%
6    	36.78%	21.25%	 9.37%	32.59%	 0.00%	27.17%	25.67%	10.39%	36.77%	 0.00%
7    	49.25%	13.69%	17.85%	19.22%	 0.00%	41.97%	15.11%	19.92%	22.99%	 0.00%
8    	21.86%	17.01%	24.69%	36.43%	 0.00%	25.01%	20.34%	11.90%	42.75%	 0.00%
9    	23.66%	36.00%	20.47%	19.87%	 0.00%	27.74%	24.54%	23.86%	23.86%	 0.00%
10   	40.62%	17.16%	 9.46%	32.76%	 0.00%	28.87%	20.92%	10.89%	39.32%	 0.00%
11   	21.94%	13.18%	16.93%	47.95%	 0.00%	26.33%	15.98%	20.71%	36.98%	 0.00%
12   	28.56%	14.35%	28.94%	28.15%	 0.00%	33.29%	16.61%	16.21%	33.89%	 0.00%
13   	29.71%	12.84%	29.05%	28.40%	 0.00%	34.84%	14.52%	16.92%	33.72%	 0.00%
14   	27.73%	21.99%	15.36%	34.92%	 0.00%	31.19%	25.43%	18.74%	24.64%	 0.00%
15   	40.72%	16.98%	16.12%	26.18%	 0.00%	30.11%	19.98%	18.41%	31.50%	 0.00%
16   	22.54%	32.67%	17.76%	27.03%	 0.00%	24.67%	22.33%	21.12%	31.87%	 0.00%
17   	37.23%	22.57%	16.84%	23.36%	 0.00%	26.48%	26.86%	20.43%	26.23%	 0.00%
18   	19.84%	16.04%	14.94%	49.19%	 0.00%	22.65%	17.97%	17.69%	41.69%	 0.00%
19   	20.52%	15.74%	22.93%	40.82%	 0.00%	23.91%	18.23%	26.91%	30.95%	 0.00%
20   	17.76%	26.64%	15.41%	40.18%	 0.00%	19.51%	32.18%	18.75%	29.56%	 0.00%
