Position in reads	Percentage of Q20+ bases	Percentage of Q30+ bases	Percentage of Clean Q20+	Percentage of Clean Q30+
1    	97.38%	92.09%	96.79%	90.40%
2    	96.45%	88.74%	95.61%	86.10%
3    	98.26%	93.70%	97.89%	92.42%
4    	98.21%	93.34%	97.89%	92.26%
5    	98.74%	94.74%	98.46%	93.59%
6    	98.36%	93.56%	98.00%	92.16%
7    	98.47%	93.72%	98.13%	92.33%
8    	98.24%	93.12%	97.85%	91.62%
9    	97.89%	92.82%	97.40%	91.16%
10   	97.22%	90.16%	96.55%	87.82%
11   	98.48%	93.81%	98.15%	92.47%
12   	96.79%	88.97%	96.03%	86.40%
13   	98.09%	93.14%	97.65%	91.57%
14   	98.59%	94.15%	98.27%	92.84%
15   	98.56%	94.44%	98.26%	93.31%
16   	98.31%	93.48%	98.00%	92.46%
17   	97.67%	91.67%	97.14%	89.76%
18   	98.34%	93.76%	97.98%	92.42%
19   	97.77%	91.76%	97.26%	89.85%
20   	97.99%	92.38%	97.53%	90.66%
21   	97.33%	91.06%	96.78%	89.42%
22   	97.84%	92.39%	97.38%	90.80%
23   	98.10%	92.70%	97.67%	91.10%
24   	98.44%	93.79%	98.12%	92.52%
25   	98.30%	93.13%	97.91%	91.59%
26   	98.61%	94.39%	98.29%	93.10%
27   	98.09%	93.66%	97.71%	92.50%
28   	98.88%	95.45%	98.64%	94.46%
29   	98.41%	93.53%	98.09%	92.16%
30   	98.55%	94.17%	98.22%	92.86%
31   	98.04%	93.00%	97.62%	91.48%
32   	97.92%	92.38%	97.44%	90.66%
33   	98.77%	94.78%	98.49%	93.59%
34   	98.33%	93.97%	97.98%	92.78%
35   	98.50%	94.45%	98.18%	93.26%
36   	98.08%	93.14%	97.62%	91.51%
37   	98.59%	94.51%	98.27%	93.28%
38   	97.34%	91.50%	96.89%	90.13%
39   	98.14%	93.44%	97.80%	92.30%
40   	98.25%	94.01%	97.90%	92.90%
41   	98.66%	95.13%	98.37%	94.07%
42   	98.30%	93.66%	97.91%	92.22%
43   	97.51%	91.65%	96.95%	89.83%
44   	98.28%	93.69%	97.95%	92.53%
45   	97.66%	92.47%	97.13%	90.88%
46   	98.55%	94.40%	98.22%	93.14%
47   	98.49%	94.64%	98.16%	93.53%
48   	97.97%	93.37%	97.88%	93.05%
49   	97.91%	93.91%	97.54%	93.01%
50   	98.90%	95.76%	98.72%	95.09%
51   	98.12%	93.72%	97.70%	92.39%
52   	98.02%	93.07%	97.64%	91.81%
53   	98.72%	94.99%	98.51%	94.18%
54   	98.02%	93.24%	97.58%	91.77%
55   	98.09%	94.05%	97.68%	92.76%
56   	98.69%	95.18%	98.46%	94.29%
57   	98.16%	93.84%	97.81%	92.73%
58   	98.46%	94.55%	98.17%	93.57%
59   	97.67%	93.14%	97.22%	91.97%
60   	98.15%	93.99%	97.77%	92.86%
61   	98.72%	95.14%	98.63%	94.71%
62   	98.49%	94.41%	98.19%	93.35%
63   	98.03%	93.23%	97.57%	91.67%
64   	98.34%	94.01%	97.97%	92.67%
65   	97.78%	92.18%	97.28%	90.50%
66   	97.90%	93.15%	97.50%	91.97%
67   	98.48%	94.47%	98.23%	93.62%
68   	98.73%	95.17%	98.47%	94.20%
69   	98.59%	94.84%	98.31%	93.82%
70   	97.31%	92.65%	96.72%	91.20%
71   	98.29%	94.75%	97.91%	93.67%
72   	98.43%	94.41%	98.13%	93.39%
73   	97.74%	92.63%	97.23%	90.98%
74   	97.29%	92.15%	96.70%	90.56%
75   	97.08%	91.84%	96.46%	90.09%
76   	98.13%	93.69%	97.77%	92.40%
77   	97.81%	93.08%	97.32%	91.55%
78   	97.84%	92.65%	97.44%	91.20%
79   	97.86%	93.00%	97.41%	91.54%
80   	97.18%	91.29%	96.55%	89.32%
81   	97.60%	92.49%	97.19%	91.18%
82   	97.67%	92.64%	97.20%	91.09%
83   	97.66%	92.44%	97.18%	90.82%
84   	97.65%	92.34%	97.18%	90.77%
85   	98.19%	94.21%	97.90%	93.35%
86   	97.44%	92.05%	96.88%	90.34%
87   	97.54%	92.82%	97.09%	91.62%
88   	98.15%	93.97%	97.78%	92.84%
89   	97.57%	92.75%	97.07%	91.30%
90   	97.49%	92.14%	97.01%	90.73%
91   	97.96%	93.36%	97.55%	92.12%
92   	96.83%	91.42%	96.17%	89.72%
93   	97.58%	92.97%	97.08%	91.61%
94   	97.60%	92.79%	97.08%	91.27%
95   	97.70%	92.94%	97.27%	91.75%
96   	97.55%	93.33%	97.12%	92.29%
97   	97.77%	93.16%	97.43%	92.20%
98   	97.81%	93.43%	97.44%	92.38%
99   	97.44%	92.56%	96.93%	91.12%
100  	97.21%	92.09%	96.66%	90.55%
