Position in reads	Percentage of Q20+ bases	Percentage of Q30+ bases	Percentage of Clean Q20	Percentage of Clean Q30
1    	99.21%	96.41%	99.05%	95.67%
2    	98.80%	95.58%	98.56%	94.68%
3    	98.99%	96.16%	98.78%	95.36%
4    	98.91%	95.80%	98.67%	94.88%
5    	98.46%	94.70%	98.09%	93.48%
6    	98.29%	93.68%	97.90%	92.22%
7    	99.31%	96.92%	99.19%	96.41%
8    	99.13%	96.17%	98.95%	95.44%
9    	99.30%	97.18%	99.30%	96.90%
10   	98.76%	95.80%	98.56%	95.00%
11   	97.64%	93.36%	97.14%	91.91%
12   	99.17%	96.32%	99.03%	95.77%
13   	99.19%	96.84%	99.03%	96.27%
14   	99.16%	96.53%	98.98%	95.78%
15   	97.95%	93.03%	97.53%	91.59%
16   	99.42%	97.35%	99.30%	96.82%
17   	98.79%	95.46%	98.53%	94.50%
18   	98.90%	96.08%	98.68%	95.28%
19   	98.26%	94.95%	98.09%	94.20%
20   	98.33%	95.35%	98.08%	94.62%
21   	98.31%	93.90%	97.92%	92.52%
22   	98.88%	95.62%	98.66%	94.76%
23   	99.13%	96.62%	98.95%	95.96%
24   	98.76%	95.75%	98.51%	94.89%
25   	98.99%	96.04%	98.79%	95.30%
26   	99.35%	97.28%	99.22%	96.73%
27   	98.91%	95.81%	98.81%	95.53%
28   	99.18%	96.61%	99.02%	95.91%
29   	98.09%	93.98%	97.67%	92.68%
30   	98.57%	94.89%	98.28%	93.88%
31   	98.92%	95.95%	98.69%	95.06%
32   	98.42%	94.77%	98.28%	94.19%
33   	99.05%	96.48%	98.87%	95.80%
34   	98.81%	95.68%	98.77%	95.17%
35   	99.05%	96.45%	98.91%	95.92%
36   	99.38%	97.45%	99.27%	96.97%
37   	99.14%	96.79%	98.98%	96.19%
38   	98.51%	94.83%	98.25%	93.93%
39   	99.34%	97.37%	99.25%	97.04%
40   	99.12%	96.47%	99.11%	96.44%
41   	99.37%	97.45%	99.29%	97.10%
42   	99.26%	97.09%	99.15%	96.69%
43   	99.24%	96.98%	99.16%	96.61%
44   	99.20%	96.91%	99.07%	96.39%
45   	99.10%	96.80%	98.97%	96.34%
46   	99.22%	97.06%	99.13%	96.64%
47   	99.28%	97.02%	99.18%	96.60%
48   	99.09%	96.64%	99.07%	96.47%
49   	99.24%	96.97%	99.12%	96.52%
50   	99.22%	96.76%	99.06%	96.13%
51   	98.94%	96.27%	98.75%	95.56%
52   	99.18%	97.02%	99.03%	96.45%
53   	98.96%	96.27%	98.99%	96.35%
54   	99.46%	97.83%	99.40%	97.54%
55   	99.16%	96.95%	99.05%	96.47%
56   	98.88%	96.05%	98.85%	95.72%
57   	99.08%	96.56%	98.96%	96.10%
58   	98.91%	96.26%	98.75%	95.66%
59   	98.74%	95.68%	98.59%	95.07%
60   	98.54%	95.51%	98.26%	94.64%
61   	98.91%	96.18%	98.76%	95.68%
62   	99.06%	96.56%	98.94%	96.03%
63   	99.22%	97.11%	99.11%	96.65%
64   	98.89%	95.87%	98.71%	95.23%
65   	98.83%	95.78%	98.62%	94.98%
66   	99.35%	97.48%	99.33%	97.27%
67   	99.10%	96.69%	98.95%	96.10%
68   	97.90%	93.76%	97.47%	92.46%
69   	98.56%	95.25%	98.38%	94.73%
70   	98.82%	95.93%	98.61%	95.18%
71   	97.99%	93.99%	97.74%	93.37%
72   	99.15%	97.00%	99.12%	96.93%
73   	98.84%	96.17%	98.80%	95.97%
74   	99.11%	96.64%	99.10%	96.58%
75   	98.96%	96.19%	98.83%	95.81%
76   	98.39%	94.95%	98.10%	94.05%
77   	98.91%	96.25%	98.75%	95.69%
78   	98.98%	96.34%	98.93%	96.15%
79   	99.33%	97.33%	99.25%	97.03%
80   	99.07%	96.67%	98.93%	96.20%
81   	98.34%	94.60%	98.10%	93.85%
82   	98.90%	96.15%	98.74%	95.57%
83   	98.89%	96.19%	98.68%	95.49%
84   	97.99%	93.89%	97.68%	92.95%
85   	98.87%	96.06%	98.70%	95.38%
86   	98.22%	94.21%	97.87%	93.06%
87   	98.57%	95.26%	98.38%	94.51%
88   	97.96%	93.87%	97.59%	92.72%
89   	98.57%	95.20%	98.38%	94.48%
90   	98.06%	94.06%	97.94%	93.53%
91   	98.15%	94.08%	97.78%	92.87%
92   	98.77%	95.78%	98.62%	95.16%
93   	98.41%	94.76%	98.17%	93.88%
94   	97.95%	93.60%	97.62%	92.47%
95   	98.04%	94.13%	97.84%	93.40%
96   	98.05%	94.13%	97.73%	93.19%
97   	98.61%	95.46%	98.42%	94.90%
98   	98.38%	94.96%	98.07%	93.96%
99   	97.48%	93.00%	97.49%	93.01%
100  	98.59%	95.50%	98.43%	94.89%
