Pos   	     A	     C	     G	     T     N	Clean A	Clean C	Clean G	Clean T	Clean N
1    	27.00%	32.00%	22.00%	19.00%	 0.00%	34.67%	16.00%	24.00%	25.33%	 0.00%
2    	28.00%	 8.00%	24.00%	40.00%	 0.00%	28.00%	10.67%	32.00%	29.33%	 0.00%
3    	18.00%	33.00%	18.00%	31.00%	 0.00%	24.00%	17.33%	24.00%	34.67%	 0.00%
4    	32.00%	15.00%	30.00%	23.00%	 0.00%	38.67%	20.00%	16.00%	25.33%	 0.00%
5    	23.00%	23.00%	13.00%	41.00%	 0.00%	28.00%	28.00%	16.00%	28.00%	 0.00%
6    	50.00%	 9.00%	16.00%	25.00%	 0.00%	40.00%	 9.33%	21.33%	29.33%	 0.00%
7    	39.00%	12.00%	18.00%	31.00%	 0.00%	26.67%	14.67%	21.33%	37.33%	 0.00%
8    	32.00%	34.00%	12.00%	22.00%	 0.00%	38.67%	21.33%	14.67%	25.33%	 0.00%
9    	12.00%	14.00%	24.00%	50.00%	 0.00%	16.00%	17.33%	26.67%	40.00%	 0.00%
10   	46.00%	11.00%	 8.00%	35.00%	 0.00%	37.33%	14.67%	 8.00%	40.00%	 0.00%
11   	23.00%	35.00%	15.00%	27.00%	 0.00%	25.33%	21.33%	20.00%	33.33%	 0.00%
12   	38.00%	18.00%	16.00%	28.00%	 0.00%	21.33%	21.33%	21.33%	36.00%	 0.00%
13   	33.00%	11.00%	24.00%	32.00%	 0.00%	38.67%	14.67%	32.00%	14.67%	 0.00%
14   	34.00%	19.00%	21.00%	26.00%	 0.00%	20.00%	25.33%	25.33%	29.33%	 0.00%
15   	31.00%	12.00%	43.00%	14.00%	 0.00%	37.33%	14.67%	33.33%	14.67%	 0.00%
16   	37.00%	35.00%	 9.00%	19.00%	 0.00%	46.67%	22.67%	12.00%	18.67%	 0.00%
17   	42.00%	15.00%	27.00%	16.00%	 0.00%	25.33%	20.00%	36.00%	18.67%	 0.00%
18   	19.00%	32.00%	26.00%	23.00%	 0.00%	21.33%	17.33%	32.00%	29.33%	 0.00%
19   	43.00%	12.00%	18.00%	27.00%	 0.00%	29.33%	12.00%	24.00%	34.67%	 0.00%
20   	34.00%	20.00%	24.00%	22.00%	 0.00%	21.33%	22.67%	32.00%	24.00%	 0.00%
21   	26.00%	 8.00%	44.00%	22.00%	 0.00%	30.67%	10.67%	32.00%	26.67%	 0.00%
22   	20.00%	12.00%	14.00%	54.00%	 0.00%	26.67%	13.33%	16.00%	44.00%	 0.00%
23   	45.00%	12.00%	13.00%	30.00%	 0.00%	33.33%	16.00%	14.67%	36.00%	 0.00%
24   	39.00%	15.00%	17.00%	29.00%	 0.00%	25.33%	20.00%	21.33%	33.33%	 0.00%
25   	48.00%	15.00%	10.00%	27.00%	 0.00%	40.00%	18.67%	 8.00%	33.33%	 0.00%
26   	17.00%	15.00%	23.00%	45.00%	 0.00%	18.67%	18.67%	29.33%	33.33%	 0.00%
27   	25.00%	22.00%	36.00%	17.00%	 0.00%	30.67%	28.00%	18.67%	22.67%	 0.00%
28   	28.00%	24.00%	 5.00%	43.00%	 0.00%	30.67%	30.67%	 6.67%	32.00%	 0.00%
29   	30.00%	21.00%	20.00%	29.00%	 0.00%	13.33%	24.00%	26.67%	36.00%	 0.00%
30   	30.00%	29.00%	19.00%	22.00%	 0.00%	34.67%	14.67%	24.00%	26.67%	 0.00%
31   	20.00%	34.00%	18.00%	28.00%	 0.00%	21.33%	20.00%	22.67%	36.00%	 0.00%
32   	55.00%	13.00%	 9.00%	23.00%	 0.00%	46.67%	14.67%	 9.33%	29.33%	 0.00%
33   	27.00%	13.00%	30.00%	30.00%	 0.00%	32.00%	16.00%	40.00%	12.00%	 0.00%
34   	17.00%	25.00%	30.00%	28.00%	 0.00%	21.33%	30.67%	10.67%	37.33%	 0.00%
35   	17.00%	30.00%	27.00%	26.00%	 0.00%	20.00%	16.00%	32.00%	32.00%	 0.00%
36   	25.00%	18.00%	25.00%	32.00%	 0.00%	32.00%	21.33%	28.00%	18.67%	 0.00%
37   	26.00%	 8.00%	16.00%	50.00%	 0.00%	30.67%	10.67%	17.33%	41.33%	 0.00%
38   	37.00%	15.00%	24.00%	24.00%	 0.00%	24.00%	18.67%	25.33%	32.00%	 0.00%
39   	51.00%	15.00%	21.00%	13.00%	 0.00%	41.33%	18.67%	22.67%	17.33%	 0.00%
40   	17.00%	15.00%	38.00%	30.00%	 0.00%	22.67%	16.00%	22.67%	38.67%	 0.00%
41   	17.00%	30.00%	13.00%	40.00%	 0.00%	20.00%	36.00%	14.67%	29.33%	 0.00%
42   	23.00%	18.00%	18.00%	41.00%	 0.00%	25.33%	20.00%	21.33%	33.33%	 0.00%
43   	34.00%	23.00%	22.00%	21.00%	 0.00%	18.67%	28.00%	25.33%	28.00%	 0.00%
44   	40.00%	17.00%	 9.00%	34.00%	 0.00%	25.33%	20.00%	 9.33%	45.33%	 0.00%
45   	24.00%	16.00%	40.00%	20.00%	 0.00%	29.33%	17.33%	26.67%	26.67%	 0.00%
46   	14.00%	20.00%	15.00%	51.00%	 0.00%	17.33%	26.67%	12.00%	44.00%	 0.00%
47   	20.00%	35.00%	16.00%	29.00%	 0.00%	25.33%	18.67%	18.67%	37.33%	 0.00%
48   	17.00%	16.00%	39.00%	28.00%	 0.00%	22.67%	18.67%	22.67%	36.00%	 0.00%
49   	22.00%	23.00%	35.00%	20.00%	 0.00%	28.00%	26.67%	20.00%	25.33%	 0.00%
50   	40.00%	11.00%	16.00%	33.00%	 0.00%	29.33%	14.67%	18.67%	37.33%	 0.00%
51   	25.00%	17.00%	38.00%	20.00%	 0.00%	30.67%	20.00%	25.33%	24.00%	 0.00%
52   	25.00%	13.00%	24.00%	38.00%	 0.00%	30.67%	16.00%	 6.67%	46.67%	 0.00%
53   	12.00%	42.00%	26.00%	20.00%	 0.00%	16.00%	32.00%	28.00%	24.00%	 0.00%
54   	29.00%	29.00%	19.00%	23.00%	 0.00%	34.67%	14.67%	21.33%	29.33%	 0.00%
55   	36.00%	22.00%	16.00%	26.00%	 0.00%	21.33%	28.00%	18.67%	32.00%	 0.00%
56   	43.00%	22.00%	19.00%	16.00%	 0.00%	29.33%	28.00%	21.33%	21.33%	 0.00%
57   	28.00%	16.00%	39.00%	17.00%	 0.00%	32.00%	21.33%	25.33%	21.33%	 0.00%
58   	34.00%	39.00%	14.00%	13.00%	 0.00%	40.00%	28.00%	16.00%	16.00%	 0.00%
