Pos   	     A	     C	     G	     T	     N	Clean A	Clean C	Clean G	Clean T	Clean N
1    	37.00%	16.00%	33.00%	14.00%	 0.00%	28.00%	20.00%	38.67%	13.33%	 0.00%
2    	40.00%	14.00%	13.00%	33.00%	 0.00%	26.67%	18.67%	16.00%	38.67%	 0.00%
3    	21.00%	43.00%	12.00%	24.00%	 0.00%	25.33%	28.00%	14.67%	32.00%	 0.00%
4    	21.00%	25.00%	11.00%	43.00%	 0.00%	22.67%	33.33%	14.67%	29.33%	 0.00%
5    	25.00%	14.00%	25.00%	36.00%	 0.00%	33.33%	12.00%	30.67%	24.00%	 0.00%
6    	31.00%	29.00%	 6.00%	34.00%	 0.00%	16.00%	38.67%	 8.00%	37.33%	 0.00%
7    	51.00%	17.00%	17.00%	15.00%	 0.00%	40.00%	18.67%	21.33%	20.00%	 0.00%
8    	14.00%	25.00%	31.00%	30.00%	 0.00%	16.00%	29.33%	16.00%	38.67%	 0.00%
9    	33.00%	40.00%	16.00%	11.00%	 0.00%	37.33%	26.67%	21.33%	14.67%	 0.00%
10   	47.00%	15.00%	11.00%	27.00%	 0.00%	34.67%	20.00%	10.67%	34.67%	 0.00%
11   	21.00%	14.00%	12.00%	53.00%	 0.00%	28.00%	18.67%	16.00%	37.33%	 0.00%
12   	28.00%	12.00%	34.00%	26.00%	 0.00%	34.67%	16.00%	18.67%	30.67%	 0.00%
13   	30.00%	13.00%	33.00%	24.00%	 0.00%	38.67%	16.00%	17.33%	28.00%	 0.00%
14   	32.00%	19.00%	13.00%	36.00%	 0.00%	36.00%	22.67%	17.33%	24.00%	 0.00%
15   	45.00%	16.00%	18.00%	21.00%	 0.00%	29.33%	21.33%	22.67%	26.67%	 0.00%
16   	20.00%	33.00%	17.00%	30.00%	 0.00%	20.00%	20.00%	21.33%	38.67%	 0.00%
17   	41.00%	27.00%	12.00%	20.00%	 0.00%	26.67%	36.00%	14.67%	22.67%	 0.00%
18   	26.00%	12.00%	15.00%	47.00%	 0.00%	33.33%	13.33%	16.00%	37.33%	 0.00%
19   	19.00%	 9.00%	29.00%	43.00%	 0.00%	20.00%	12.00%	38.67%	29.33%	 0.00%
20   	13.00%	29.00%	11.00%	47.00%	 0.00%	16.00%	34.67%	14.67%	34.67%	 0.00%
21   	46.00%	15.00%	14.00%	25.00%	 0.00%	36.00%	16.00%	18.67%	29.33%	 0.00%
22   	33.00%	37.00%	 8.00%	22.00%	 0.00%	37.33%	25.33%	 9.33%	28.00%	 0.00%
23   	27.00%	24.00%	15.00%	34.00%	 0.00%	29.33%	32.00%	20.00%	18.67%	 0.00%
24   	31.00%	12.00%	 9.00%	48.00%	 0.00%	40.00%	16.00%	12.00%	32.00%	 0.00%
25   	29.00%	11.00%	36.00%	24.00%	 0.00%	34.67%	10.67%	24.00%	30.67%	 0.00%
26   	17.00%	18.00%	17.00%	48.00%	 0.00%	14.67%	24.00%	22.67%	38.67%	 0.00%
27   	22.00%	18.00%	39.00%	21.00%	 0.00%	25.33%	24.00%	25.33%	25.33%	 0.00%
28   	20.00%	36.00%	17.00%	27.00%	 0.00%	26.67%	22.67%	20.00%	30.67%	 0.00%
29   	19.00%	18.00%	17.00%	46.00%	 0.00%	24.00%	20.00%	20.00%	36.00%	 0.00%
30   	36.00%	19.00%	18.00%	27.00%	 0.00%	18.67%	25.33%	22.67%	33.33%	 0.00%
31   	22.00%	20.00%	20.00%	38.00%	 0.00%	25.33%	26.67%	21.33%	26.67%	 0.00%
32   	21.00%	20.00%	39.00%	20.00%	 0.00%	24.00%	26.67%	25.33%	24.00%	 0.00%
33   	21.00%	15.00%	14.00%	50.00%	 0.00%	25.33%	17.33%	18.67%	38.67%	 0.00%
34   	39.00%	20.00%	16.00%	25.00%	 0.00%	25.33%	24.00%	17.33%	33.33%	 0.00%
35   	17.00%	23.00%	33.00%	27.00%	 0.00%	21.33%	30.67%	16.00%	32.00%	 0.00%
36   	15.00%	22.00%	21.00%	42.00%	 0.00%	18.67%	26.67%	24.00%	30.67%	 0.00%
37   	19.00%	24.00%	15.00%	42.00%	 0.00%	21.33%	32.00%	17.33%	29.33%	 0.00%
38   	41.00%	15.00%	22.00%	22.00%	 0.00%	29.33%	17.33%	26.67%	26.67%	 0.00%
39   	19.00%	38.00%	 9.00%	34.00%	 0.00%	22.67%	24.00%	 8.00%	45.33%	 0.00%
40   	30.00%	 8.00%	34.00%	28.00%	 0.00%	40.00%	10.67%	17.33%	32.00%	 0.00%
41   	48.00%	12.00%	10.00%	30.00%	 0.00%	38.67%	12.00%	13.33%	36.00%	 0.00%
42   	17.00%	12.00%	39.00%	32.00%	 0.00%	20.00%	16.00%	22.67%	41.33%	 0.00%
43   	39.00%	25.00%	21.00%	15.00%	 0.00%	28.00%	30.67%	24.00%	17.33%	 0.00%
44   	36.00%	26.00%	12.00%	26.00%	 0.00%	20.00%	30.67%	14.67%	34.67%	 0.00%
45   	25.00%	28.00%	32.00%	15.00%	 0.00%	32.00%	34.67%	16.00%	17.33%	 0.00%
46   	30.00%	12.00%	14.00%	44.00%	 0.00%	36.00%	12.00%	18.67%	33.33%	 0.00%
47   	24.00%	31.00%	21.00%	24.00%	 0.00%	32.00%	16.00%	24.00%	28.00%	 0.00%
48   	24.00%	20.00%	32.00%	24.00%	 0.00%	29.33%	25.33%	16.00%	29.33%	 0.00%
49   	21.00%	14.00%	44.00%	21.00%	 0.00%	26.67%	16.00%	34.67%	22.67%	 0.00%
50   	42.00%	19.00%	26.00%	13.00%	 0.00%	30.67%	22.67%	29.33%	17.33%	 0.00%
51   	21.00%	15.00%	15.00%	49.00%	 0.00%	28.00%	18.67%	17.33%	36.00%	 0.00%
52   	21.00%	35.00%	27.00%	17.00%	 0.00%	28.00%	18.67%	34.67%	18.67%	 0.00%
53   	20.00%	21.00%	30.00%	29.00%	 0.00%	25.33%	26.67%	13.33%	34.67%	 0.00%
54   	22.00%	15.00%	15.00%	48.00%	 0.00%	29.33%	16.00%	20.00%	34.67%	 0.00%
55   	47.00%	15.00%	21.00%	17.00%	 0.00%	38.67%	20.00%	24.00%	17.33%	 0.00%
56   	31.00%	18.00%	30.00%	21.00%	 0.00%	41.33%	21.33%	13.33%	24.00%	 0.00%
57   	23.00%	37.00%	18.00%	22.00%	 0.00%	30.67%	22.67%	22.67%	24.00%	 0.00%
58   	28.00%	31.00%	23.00%	18.00%	 0.00%	36.00%	16.00%	25.33%	22.67%	 0.00%
59   	39.00%	25.00%	10.00%	26.00%	 0.00%	25.33%	33.33%	10.67%	30.67%	 0.00%
60   	25.00%	13.00%	18.00%	44.00%	 0.00%	33.33%	16.00%	18.67%	32.00%	 0.00%
61   	23.00%	23.00%	32.00%	22.00%	 0.00%	29.33%	25.33%	17.33%	28.00%	 0.00%
62   	20.00%	21.00%	19.00%	40.00%	 0.00%	24.00%	25.33%	22.67%	28.00%	 0.00%
63   	20.00%	35.00%	15.00%	30.00%	 0.00%	21.33%	21.33%	17.33%	40.00%	 0.00%
64   	32.00%	10.00%	45.00%	13.00%	 0.00%	40.00%	10.67%	33.33%	16.00%	 0.00%
65   	20.00%	17.00%	21.00%	42.00%	 0.00%	25.33%	20.00%	22.67%	32.00%	 0.00%
66   	19.00%	22.00%	17.00%	42.00%	 0.00%	20.00%	28.00%	20.00%	32.00%	 0.00%
