Position in reads	Percentage of Q20+ bases	Percentage of Q30+ bases	Percentage of Clean Q20+	Percentage of Clean Q30+
1    	97.00%	91.00%	96.00%	88.00%
2    	96.00%	89.00%	94.67%	85.33%
3    	99.00%	94.00%	98.67%	93.33%
4    	99.00%	96.00%	98.67%	94.67%
5    	97.00%	94.00%	96.00%	92.00%
6    	99.00%	97.00%	98.67%	96.00%
7    	99.00%	96.00%	98.67%	94.67%
8    	100.00%	96.00%	100.00%	94.67%
9    	98.00%	87.00%	97.33%	82.67%
10   	96.00%	86.00%	94.67%	81.33%
11   	99.00%	90.00%	98.67%	88.00%
12   	99.00%	89.00%	98.67%	85.33%
13   	100.00%	93.00%	100.00%	90.67%
14   	96.00%	93.00%	96.00%	92.00%
15   	98.00%	90.00%	97.33%	86.67%
16   	100.00%	88.00%	100.00%	84.00%
17   	99.00%	92.00%	98.67%	89.33%
18   	99.00%	95.00%	98.67%	93.33%
19   	98.00%	89.00%	97.33%	86.67%
20   	97.00%	94.00%	96.00%	92.00%
21   	99.00%	88.00%	98.67%	85.33%
22   	94.00%	86.00%	92.00%	81.33%
23   	98.00%	92.00%	97.33%	90.67%
24   	97.00%	95.00%	96.00%	93.33%
25   	99.00%	95.00%	98.67%	93.33%
26   	98.00%	96.00%	97.33%	96.00%
27   	98.00%	96.00%	97.33%	94.67%
28   	100.00%	97.00%	100.00%	96.00%
29   	96.00%	90.00%	94.67%	88.00%
30   	98.00%	92.00%	97.33%	89.33%
31   	97.00%	93.00%	96.00%	92.00%
32   	98.00%	92.00%	97.33%	89.33%
33   	99.00%	95.00%	98.67%	93.33%
34   	99.00%	94.00%	98.67%	92.00%
35   	97.00%	93.00%	96.00%	90.67%
36   	97.00%	92.00%	96.00%	89.33%
37   	98.00%	92.00%	97.33%	90.67%
38   	97.00%	92.00%	96.00%	89.33%
39   	99.00%	92.00%	98.67%	90.67%
40   	98.00%	95.00%	97.33%	93.33%
41   	98.00%	95.00%	97.33%	93.33%
42   	99.00%	94.00%	98.67%	92.00%
43   	100.00%	97.00%	100.00%	96.00%
44   	97.00%	90.00%	96.00%	86.67%
45   	96.00%	93.00%	94.67%	90.67%
46   	100.00%	98.00%	100.00%	97.33%
47   	99.00%	96.00%	98.67%	94.67%
48   	98.00%	92.00%	98.67%	92.00%
49   	98.00%	95.00%	97.33%	93.33%
50   	99.00%	98.00%	98.67%	97.33%
51   	100.00%	96.00%	100.00%	94.67%
52   	98.00%	92.00%	97.33%	89.33%
53   	99.00%	93.00%	98.67%	90.67%
54   	98.00%	87.00%	98.67%	84.00%
55   	98.00%	91.00%	97.33%	89.33%
56   	96.00%	93.00%	94.67%	90.67%
57   	99.00%	95.00%	98.67%	93.33%
58   	97.00%	92.00%	96.00%	89.33%
59   	99.00%	93.00%	98.67%	92.00%
60   	99.00%	98.00%	98.67%	97.33%
61   	100.00%	95.00%	100.00%	93.33%
62   	96.00%	91.00%	94.67%	89.33%
63   	98.00%	95.00%	97.33%	93.33%
64   	96.00%	88.00%	94.67%	84.00%
65   	97.00%	92.00%	96.00%	89.33%
66   	97.00%	92.00%	96.00%	89.33%
67   	99.00%	97.00%	98.67%	96.00%
68   	100.00%	93.00%	100.00%	90.67%
69   	97.00%	97.00%	96.00%	96.00%
70   	94.00%	89.00%	92.00%	85.33%
71   	100.00%	98.00%	100.00%	97.33%
72   	100.00%	96.00%	100.00%	94.67%
73   	99.00%	91.00%	98.67%	88.00%
74   	99.00%	95.00%	98.67%	93.33%
75   	99.00%	94.00%	98.67%	93.33%
76   	97.00%	95.00%	97.33%	94.67%
77   	100.00%	94.00%	100.00%	92.00%
78   	97.00%	89.00%	96.00%	88.00%
79   	97.00%	90.00%	97.33%	88.00%
80   	98.00%	91.00%	97.33%	89.33%
81   	99.00%	91.00%	98.67%	89.33%
82   	98.00%	93.00%	97.33%	90.67%
83   	99.00%	89.00%	98.67%	86.67%
84   	98.00%	94.00%	98.67%	93.33%
85   	99.00%	94.00%	100.00%	93.33%
86   	97.00%	90.00%	96.00%	86.67%
87   	96.00%	93.00%	94.67%	90.67%
88   	98.00%	94.00%	98.67%	93.33%
89   	95.00%	90.00%	93.33%	86.67%
90   	96.00%	92.00%	94.67%	89.33%
91   	97.00%	94.00%	96.00%	93.33%
92   	95.00%	89.00%	93.33%	85.33%
93   	96.00%	93.00%	94.67%	90.67%
94   	97.00%	95.00%	96.00%	94.67%
95   	97.00%	93.00%	96.00%	92.00%
96   	97.00%	93.00%	96.00%	92.00%
97   	98.00%	92.00%	97.33%	89.33%
98   	97.00%	92.00%	96.00%	89.33%
99   	97.00%	94.00%	96.00%	92.00%
100  	99.00%	93.00%	98.67%	90.67%
