Position in reads	Percentage of Q20+ bases	Percentage of Q30+ bases	Percentage of Clean Q20	Percentage of Clean Q30
1    	99.00%	92.00%	98.67%	90.67%
2    	99.00%	96.00%	98.67%	94.67%
3    	100.00%	96.00%	100.00%	94.67%
4    	98.00%	96.00%	97.33%	94.67%
5    	97.00%	93.00%	96.00%	90.67%
6    	100.00%	94.00%	100.00%	92.00%
7    	100.00%	98.00%	100.00%	97.33%
8    	99.00%	94.00%	98.67%	92.00%
9    	99.00%	94.00%	98.67%	92.00%
10   	99.00%	96.00%	98.67%	94.67%
11   	99.00%	95.00%	98.67%	93.33%
12   	98.00%	93.00%	97.33%	92.00%
13   	99.00%	94.00%	98.67%	92.00%
14   	100.00%	97.00%	100.00%	96.00%
15   	97.00%	93.00%	96.00%	90.67%
16   	100.00%	99.00%	100.00%	98.67%
17   	100.00%	95.00%	100.00%	93.33%
18   	98.00%	92.00%	97.33%	89.33%
19   	98.00%	92.00%	97.33%	89.33%
20   	99.00%	93.00%	98.67%	90.67%
21   	100.00%	91.00%	100.00%	89.33%
22   	99.00%	95.00%	98.67%	93.33%
23   	100.00%	96.00%	100.00%	94.67%
24   	95.00%	91.00%	93.33%	88.00%
25   	98.00%	93.00%	97.33%	90.67%
26   	99.00%	98.00%	98.67%	97.33%
27   	97.00%	94.00%	96.00%	93.33%
28   	100.00%	93.00%	100.00%	90.67%
29   	94.00%	90.00%	92.00%	86.67%
30   	99.00%	96.00%	98.67%	94.67%
31   	100.00%	94.00%	100.00%	93.33%
32   	100.00%	96.00%	100.00%	94.67%
33   	99.00%	96.00%	98.67%	94.67%
34   	100.00%	93.00%	100.00%	90.67%
35   	99.00%	96.00%	98.67%	94.67%
36   	99.00%	96.00%	98.67%	94.67%
37   	97.00%	90.00%	96.00%	88.00%
38   	97.00%	93.00%	97.33%	92.00%
39   	100.00%	98.00%	100.00%	97.33%
40   	100.00%	94.00%	100.00%	93.33%
41   	99.00%	97.00%	98.67%	96.00%
42   	100.00%	97.00%	100.00%	96.00%
43   	100.00%	96.00%	100.00%	94.67%
44   	100.00%	97.00%	100.00%	96.00%
45   	98.00%	97.00%	97.33%	96.00%
46   	99.00%	98.00%	98.67%	97.33%
47   	100.00%	97.00%	100.00%	97.33%
48   	98.00%	94.00%	97.33%	93.33%
49   	100.00%	97.00%	100.00%	96.00%
50   	99.00%	93.00%	98.67%	90.67%
51   	99.00%	97.00%	98.67%	96.00%
52   	100.00%	95.00%	100.00%	93.33%
53   	100.00%	97.00%	100.00%	97.33%
54   	100.00%	95.00%	100.00%	93.33%
55   	98.00%	93.00%	97.33%	90.67%
56   	98.00%	95.00%	97.33%	93.33%
57   	97.00%	96.00%	96.00%	94.67%
58   	100.00%	93.00%	100.00%	92.00%
59   	97.00%	93.00%	97.33%	92.00%
60   	98.00%	94.00%	97.33%	92.00%
61   	98.00%	94.00%	97.33%	93.33%
62   	100.00%	98.00%	100.00%	97.33%
63   	97.00%	90.00%	96.00%	86.67%
64   	99.00%	92.00%	98.67%	90.67%
65   	98.00%	95.00%	97.33%	93.33%
66   	96.00%	94.00%	96.00%	93.33%
67   	99.00%	90.00%	100.00%	88.00%
68   	98.00%	93.00%	97.33%	90.67%
69   	99.00%	93.00%	98.67%	90.67%
70   	100.00%	97.00%	100.00%	96.00%
71   	98.00%	94.00%	97.33%	92.00%
72   	98.00%	98.00%	98.67%	98.67%
73   	99.00%	92.00%	98.67%	90.67%
74   	99.00%	93.00%	100.00%	92.00%
75   	98.00%	95.00%	97.33%	93.33%
76   	99.00%	94.00%	98.67%	92.00%
77   	99.00%	97.00%	98.67%	96.00%
78   	98.00%	94.00%	98.67%	93.33%
79   	100.00%	98.00%	100.00%	97.33%
80   	100.00%	98.00%	100.00%	97.33%
81   	99.00%	93.00%	98.67%	93.33%
82   	99.00%	96.00%	98.67%	94.67%
83   	96.00%	94.00%	94.67%	92.00%
84   	97.00%	94.00%	96.00%	93.33%
85   	98.00%	94.00%	97.33%	92.00%
86   	96.00%	92.00%	94.67%	89.33%
87   	95.00%	90.00%	93.33%	86.67%
88   	100.00%	93.00%	100.00%	90.67%
89   	96.00%	95.00%	94.67%	93.33%
90   	97.00%	96.00%	96.00%	94.67%
91   	96.00%	91.00%	94.67%	88.00%
92   	100.00%	94.00%	100.00%	92.00%
93   	95.00%	94.00%	93.33%	93.33%
94   	98.00%	89.00%	97.33%	85.33%
95   	98.00%	94.00%	97.33%	92.00%
96   	98.00%	90.00%	97.33%	86.67%
97   	98.00%	90.00%	97.33%	88.00%
98   	98.00%	92.00%	97.33%	90.67%
99   	98.00%	96.00%	98.67%	96.00%
100  	97.00%	93.00%	97.33%	92.00%
